attack_id,precision,recall,f1,accuracy,auc_roc
1,0.4316,0.8962,0.5826,0.9729,0.9859
2,0.0314,0.0372,0.0341,0.9542,0.5288
3,0.4627,0.9947,0.6316,0.9750,0.9995
4,0.3811,0.8750,0.5309,0.9728,0.9698
5,0.4419,0.9942,0.6118,0.9749,0.9998
6,0.4255,0.9091,0.5797,0.9732,0.9686
7,0.4833,0.9902,0.6495,0.9749,0.9933
8,0.4667,0.8915,0.6126,0.9725,0.9659
9,0.4627,0.8341,0.5952,0.9709,0.9502
10,0.4114,0.9618,0.5763,0.9743,0.9837
11,0.4082,0.7129,0.5192,0.9682,0.8581
12,0.2678,0.4293,0.3299,0.9630,0.6620
13,0.8467,0.7802,0.8121,0.9449,0.9538
14,0.8422,1.0000,0.9144,0.9776,1.0000
15,0.8640,0.9906,0.9230,0.9768,0.9986
16,0.5917,0.6186,0.6048,0.9545,0.8357
17,0.0847,0.5556,0.1471,0.9728,0.9540
